,一部事務組合等コード表（令和７年10月23日現在）,,,,,,,
,018295,日高東部衛生組合,ひだかとうぶえいせいくみあい,昭和40年4月1日,0570024,北海道浦河郡浦河町築地1丁目3番1号,0146269001,
,018309,上川中部福祉事務組合,かみかわちゅうぶふくしじむくみあい,令和3年11月25日,0781304,北海道上川郡当麻町４条西３丁目３番２号　当麻町子育て総合センター内,0166845445,
,018325,大雪地区広域連合,たいせつちくこういきれんごう,平成15年7月22日,0711423,北海道上川郡東川町東町1丁目16番1号,0166823697,
,018333,上川広域滞納整理機構,かみかわこういきたいのうせいりきこう,平成21年2月23日,0798416,北海道旭川市永山6条19丁目,0166465191,
,018384,北空知衛生センター組合,きたそらちえいせいせんたーくみあい,昭和41年4月1日,0740028,北海道深川市一已町字一已1863番地,0164233584,
,018457,長幌上水道企業団,ながほろじょうすいどうきぎょうだん,昭和41年11月2日,0691334,北海道夕張郡長沼町錦町北1丁目13番1号,0123825700,
,018481,北しりべし廃棄物処理広域連合,きたしりべしはいきぶつしょりこういきれんごう,平成14年4月12日,0482673,北海道小樽市桃内2丁目111番地2,0134283753,
,018490,南空知公衆衛生組合,みなみそらちこうしゆうえいせいくみあい,昭和42年5月17日,0691317,北海道夕張郡長沼町東5線北8番地,0123883900,
,018554,南部後志環境衛生組合,なんぶしりべしかんきようえいせいくみあい,昭和43年1月5日,0480192,北海道寿都郡黒松内町字黒松内302番地1,0136723312,
,018571,中空知広域市町村圏組合（事業会計分）,なかそらちこういきしちょうそんけんくみあい（じぎょうかいけいぶん）,昭和45年11月9日,0738686,北海道滝川市大町1丁目2番15号滝川市役所内,0125221226,
,018597,岩内地方衛生組合,いわないちほうえいせいくみあい,昭和43年3月30日,0450025,北海道岩内郡岩内町字敷島内715番地4,0135622736,
,018601,北部桧山衛生センター組合,ほくぶひやまえいせいせんたーくみあい,昭和43年4月11日,0494516,北海道久遠郡せたな町北檜山区共和120番地5,0137860070,
,018619,羽幌町外２町村衛生施設組合,はぼろちょうほかにちょうそんえいせいしせつくみあい,昭和43年4月16日,0784141,北海道苫前郡羽幌町字築別815番地,0164681001,
,018635,空知教育センター組合,そらちきょういくせんたーくみあい,昭和43年4月26日,0730014,北海道滝川市文京町4丁目1-1,0125221371,
,018643,北海道町村議会議員公務災害補償等組合,ほっかいどうちょうそんぎかいぎいんこうむさいがいほしょうとうくみあい,昭和43年5月1日,0600004,北海道札幌市中央区北4条西6丁目2番地,0112512882,
,018651,羊蹄山麓環境衛生組合,ようていさんろくかんきょうえいせいくみあい,昭和43年5月1日,0440077,北海道虻田郡倶知安町字比羅夫266番地3,0136220211,
,018678,北海道後期高齢者医療広域連合,ほっかいどうこうきこうれいしゃいりょうこういきれんごう,平成19年3月1日,0600062,北海道札幌市中央区南2条西14丁目,0112905601,
,018686,南渡島衛生施設組合,みなみおしまえいせいしせつくみあい,昭和43年10月21日,0411133,北海道亀田郡七飯町字中島388番地1,0138652713,
,018694,砂川地区保健衛生組合,すながわちくほけんえいせいくみあい,昭和43年10月22日,0730168,北海道砂川市西8条北22丁目127番地6,0125535353,
,018716,苫小牧港管理組合,とまこまいこうかんりくみあい,昭和40年7月1日,0530003,北海道苫小牧市入船町3丁目4番21号,0144345551,
,018732,斜里郡３町終末処理事業組合,しやりぐんさんちょうしゅうまつしょりじぎょうくみあい,昭和43年11月25日,0994144,北海道斜里郡斜里町字大栄144番地,0152231069,
,018759,西天北五町衛生施設組合,にしてんぽくごちょうえいせいしせつくみあい,昭和44年1月14日,0983223,北海道天塩郡幌延町字幌延884番地,0163251154,
,018775,南十勝複合事務組合,みなみとかちふくごうじむくみあい,昭和44年2月4日,0892446,広尾郡広尾町字紋別760番地の3,0155852811,
,018791,安平・厚真行政事務組合,あびらあつまぎょうせいじむくみあい,昭和44年4月1日,0591502,北海道勇払郡安平町早来北進218番地7,0145223151,
,018830,中空知衛生施設組合,なかそらちえいせいしせつくみあい,昭和44年7月1日,0730026,北海道滝川市東滝川760番地1,0125753800,
,018856,十勝圏複合事務組合（普通会計分）,とかちけんふくごうじむくみあい（ふつうかいけいぶん）,昭和44年7月14日,0802464,北海道帯広市西24条北4丁目1番地5,0155373491,
,018899,南部桧山衛生処理組合,なんぶひやまえいせいしょりくみあい,昭和44年11月12日,0430023,北海道檜山郡江差町字田沢町681番地,0139536301,
,018902,中・北空知廃棄物処理広域連合,なかきたそらちはいきぶつしょりこういきれんごう,平成22年2月2日,0730402,北海道歌志内市字東光30番地17,0125425389,
,018911,北空知衛生施設組合,きたそらちえいせいしせつくみあい,昭和45年4月27日,0790592,"北海道雨竜郡妹背牛町字妹背牛5200番地
妹背牛町役場住民課住民グループ内",0164322031,
,018929,南宗谷衛生施設組合,みなみそうやえいせいしせつくみあい,昭和45年5月6日,0985761,北海道枝幸郡浜頓別町智福2-13,0163422415,
,018937,函館圏公立大学広域連合,はこだてけんこうりつだいがくこういきれんごう,平成9年11月5日,0408666,北海道函館市東雲町４番１３号,0138213621,
,018945,西胆振行政事務組合,にしいぶりぎょうせいじむくみあい,昭和45年7月1日,0520012,北海道伊達市松ヶ枝町13番地1,0142215000,
,018953,根室北部衛生組合,ねむろほくぶえいせいくみあい,昭和45年7月10日,0861632,北海道標津郡標津町北2条西1丁目1-3,0153857243,
,018970,渡島・檜山地方税滞納整理機構,おしまひやまちほうぜいたいのうせいりきこう,平成16年4月1日,0418558,北海道函館市美原4丁目6番16号　渡島合同庁舎内,0138477722,
,019003,川上郡衛生処理組合,かわかみぐんえいせいしょりくみあい,昭和45年9月1日,0883151,北海道川上郡標茶町字熊牛原野18線西9番地,0154862223,
,019011,石狩北部地区消防事務組合,いしかりほくぶちくしょうぼうじむくみあい,昭和45年10月1日,0613211,北海道石狩市花川北1条1丁目2番地3,0133745119,
,019020,渡島西部広域事務組合,おしませいぶこういきじむくみあい,昭和45年10月1日,0491331,北海道松前郡福島町字三岳45番地の1,0139473511,
,019046,中空知広域市町村圏組合（普通会計分）,なかそらちこういきしちょうそんけんくみあい（ふつうかいけいぶん）,昭和45年11月9日,0738686,北海道滝川市大町1丁目2番15号滝川市役所内,0125221226,
,019097,西空知広域水道企業団,にしそらちこういきすいどうきぎょうだん,昭和46年3月25日,0731102,北海道樺戸郡新十津川町字大和232番地20,0125762486,
,019101,日高東部消防組合,ひだかとうぶしょうぼうくみあい,昭和46年4月1日,0570024,北海道浦河郡浦河町築地1丁目2番9号,0146222144,
,019135,日高中部消防組合,ひだかちゅうぶしょうぼうくみあい,昭和46年6月1日,0560005,北海道日高郡新ひだか町静内こうせい町2丁目1番1号,0146420941,
,019143,胆振東部消防組合,いぶりとうぶしょうぼうくみあい,昭和46年7月1日,0591604,北海道勇払郡厚真町錦町47番地の2,0145267100,
,019160,日高中部衛生施設組合,ひだかちゅうぶえいせいしせつくみあい,昭和46年8月1日,0560017,北海道日高郡新ひだか町静内御幸町3丁目2番50号,0146490289,
,019186,上川北部消防事務組合,かみかわほくぶしょうぼうじむくみあい,昭和46年10月1日,0960034,北海道名寄市西4条北3丁目,0165432627,
,019194,遠軽地区広域組合,えんがるちくこういきくみあい,昭和46年10月1日,0990492,北海道紋別郡遠軽町1条通北3丁目,0158427600,
,019208,美幌・津別広域事務組合,びほろつべつこういきじむくみあい,昭和46年10月11日,0920012,北海道網走郡美幌町字栄町1丁目4,0152731211,
,019216,網走地区消防組合,あばしりちくしょうぼうくみあい,昭和46年10月25日,0930012,北海道網走市南2条西4丁目2番地,0152439486,
,019224,網走地方教育研修センター組合,あばしりちほうきょういくけんしゅうせんたーくみあい,昭和46年12月1日,0930033,北海道網走市駒場北4丁目2番1号,0152432917,
,019232,愛別町外３町塵芥処理組合,あいべつちょうほかさんちょうじんかいしょりくみあい,昭和47年2月5日,0781411,北海道上川郡愛別町字金富1064番地,0165865194,
,019241,滝川地区広域消防事務組合,たきかわちくこういきしょうぼうじむくみあい,昭和47年3月28日,0730014,北海道滝川市文京町4丁目1番5号,0125230119,
,019259,北見地区消防組合,きたみちくしょうぼうくみあい,昭和47年4月1日,0900065,北海道北見市寿町2丁目1-28,0157251515,
,019267,南空知消防組合,みなみそらちしょうぼうくみあい,昭和47年4月1日,0691511,北海道夕張郡栗山町中央3丁目309番地2,0123721835,
,019275,深川地区消防組合,ふかがわちくしょうぼうくみあい,昭和47年4月1日,0740008,北海道深川市8条10番20号,0164223160,
,019283,岩見沢地区消防事務組合,いわみざわちくしょうぼうじむくみあい,昭和47年4月1日,0680008,北海道岩見沢市8条東10丁目2番地47,0126224300,
,019291,砂川地区広域消防組合,すながわちくこういきしょうぼうくみあい,昭和47年4月1日,0730152,北海道砂川市東2条北7丁目1番5号,0125542196,
,019305,根室北部消防事務組合,ねむろほくぶしょうぼうじむくみあい,昭和47年4月1日,0861164,北海道標津郡中標津町丸山2丁目22番地,0153729114,
,019313,士別地方消防事務組合,しべつちほうしょうぼうじむくみあい,昭和47年4月1日,0950016,北海道士別市東6条4丁目1番地,0165234709,
,019321,胆振東部日高西部衛生組合,いぶりとうぶひだかせいぶえいせいくみあい,昭和47年4月1日,0540064,北海道勇払郡むかわ町晴海94番地先,0145422753,
,019330,西いぶり広域連合,にしいぶりこういきれんごう,平成12年3月8日,0500051,北海道室蘭市石川町22番地2,0143590705,
,019348,利尻郡清掃施設組合,りしりぐんせいそうしせつくみあい,昭和47年6月1日,0970101,北海道利尻郡利尻富士町鴛泊字富士野6番地,0163822513,
,019364,上川教育研修センター組合,かみかわきょういくけんしゅうせんたーくみあい,昭和47年9月1日,0700036,北海道旭川市6条通4丁目,0166242501,
,019372,南渡島消防事務組合,みなみおしましょうぼうじむくみあい,昭和47年12月18日,0490162,北海道北斗市中央2丁目6番6号　北斗消防署内,0138735130,
,019381,斜里地区消防組合,しゃりちくしょうぼうくみあい,昭和48年3月17日,0994113,北海道斜里郡斜里町本町14番地3,0152233647,
,019402,羊蹄山ろく消防組合,ようていさんろくしょうぼうくみあい,昭和48年4月1日,0440003,北海道虻田郡倶知安町北3条東4丁目1番地3,0136222822,
,019411,南部後志衛生施設組合,なんぶしりべしえいせいしせつくみあい,昭和48年4月1日,0480403,北海道寿都郡寿都町字政泊町政泊57番地1,0136623166,
,019429,大雪消防組合,たいせつしょうぼうくみあい,昭和48年4月1日,0710208,北海道上川郡美瑛町本町4丁目5番20号,0166922029,
,019437,大雪清掃組合,たいせつせいそうくみあい,昭和48年4月1日,0710292,北海道上川郡美瑛町本町4丁目6番1号　美瑛町役場内,0166922247,
,019445,北留萌消防組合,きたるもいしょうぼうくみあい,昭和48年4月1日,0784105,北海道苫前郡羽幌町南5条4丁目6番地,0164621220,
,019453,稚内地区消防事務組合,わっかないちくしょうぼうじむくみあい,昭和48年4月1日,0970021,北海道稚内市港5丁目1-37,0162232177,
,019461,利尻礼文消防事務組合,りしりれぶんしょうぼうじむくみあい,昭和48年4月1日,0970401,北海道利尻郡利尻町沓形字泉町68番地,0163842742,
,019470,南宗谷消防組合,みなみそうやしょうぼうくみあい,昭和48年4月1日,0985808,北海道枝幸郡枝幸町新港町908番地４,0163621421,
,019488,紋別地区消防組合,もんべつちくしょうぼうくみあい,昭和48年4月1日,0948707,北海道紋別市幸町2丁目1－18,0158242111,
,019496,日高西部消防組合,ひだかせいぶしょうぼうくみあい,昭和48年4月1日,0550001,北海道沙流郡日高町富川北7丁目1番10号,0145621521,
,019500,平取町外２町衛生施設組合,びらとりちょうほかにちょうえいせいしせつくみあい,昭和48年4月1日,0550102,北海道沙流郡平取町字小平39番地2,0145722024,
,019518,釧路北部消防事務組合,くしろほくぶしょうぼうじむくみあい,昭和48年4月1日,0883215,北海道川上郡弟子屈町美里3丁目8番1号,0154823276,
,019534,利尻郡学校給食組合,りしりぐんがっこうきゅうしょくくみあい,昭和48年4月17日,0970211,"北海道利尻郡利尻富士町鬼脇字
清川116番地",0163831057,
,019551,渡島廃棄物処理広域連合,おしまはいきぶつしょりこういきれんごう,平成12年9月27日,0490132,北海道北斗市館野105番地,0138743535,
,019577,留萌南部衛生組合,るもいなんぶえいせいくみあい,昭和48年11月26日,0770046,北海道留萌市港町3丁目71番地,0164432555,
,019585,道央廃棄物処理組合,どうおうはいきぶつしょりくみあい,平成26年2月18日,0660008,北海道千歳市根志越2533番地の1,0123255331,
,019593,檜山広域行政組合,ひやまこういきぎょうせいくみあい,昭和49年4月1日,0430052,北海道檜山郡江差町字茂尻町96番地,0139523026,
,019607,北十勝２町環境衛生処理組合,きたとかちにちょうかんきょうえいせいしょりくみあい,昭和49年2月27日,0801408,北海道河東郡上士幌町字上士幌西1線214番地,0156424055,
,019615,石狩東部広域水道企業団,いしかりとうぶこういきすいどうきぎょうだん,昭和49年3月1日,0611422,北海道恵庭市盤尻264番地の1,0123332191,
,019623,月新水道企業団,つきしんすいどうきぎょうだん,昭和49年4月1日,0610592,北海道樺戸郡月形町1219番地,0126532365,
,019631,留萌消防組合,るもいしょうぼうくみあい,昭和49年4月1日,0770021,北海道留萌市高砂町3丁目6番11号,0164422212,
,019640,岩内・寿都地方消防組合,いわないすっつちほうしょうぼうくみあい,昭和49年4月1日,0450013,北海道岩内郡岩内町字高台8番地1,0135622403,
,019658,北後志消防組合,きたしりべししょうぼうくみあい,昭和49年4月1日,0460003,北海道余市郡余市町黒川町6丁目25番地2,0135233759,
,019666,釧路東部消防組合,くしろとうぶしょうぼうくみあい,昭和49年4月1日,0881124,北海道厚岸郡厚岸町宮園2丁目414番地2,0153525111,
,019712,中標津町外２町葬斎組合,なかしべつちょうほかにちょうそうさいくみあい,昭和49年7月25日,0861197,北海道標津郡中標津町丸山2丁目22番地(中標津町役場内町民生活部生活課環境衛生係),0153733111,
,019721,釧路広域連合,くしろこういきれんごう,平成14年8月12日,0850807,北海道釧路市高山30番地1,0154922002,
,019739,石狩教育研修センター組合,いしかりきょういくけんしゅうせんたーくみあい,昭和50年2月15日,0611112,北海道北広島市共栄315番地,0113730880,
,019747,後志教育研修センター組合,しりべしきょういくけんしゅうせんたーくみあい,昭和50年3月15日,0440013,北海道虻田郡倶知安町南3条東4丁目,0136221337,
,019755,西紋別地区環境衛生施設組合,にしもんべつちくかんきょうえいせいしせつくみあい,昭和50年4月1日,0948707,北海道紋別市幸町2丁目1番18号,0158262226,
,019771,日高管内地方税滞納整理機構,ひだかかんないちほうぜいたいのうせいりきこう,平成19年4月1日,0578558,北海道浦河郡浦河町栄丘東通56号日高合同庁舎内,0146229270,
,019780,大雪葬斎組合,たいせつそうさいくみあい,昭和51年4月1日,0711592,北海道上川郡東神楽町南1条西1丁目3番2号　東神楽町役場　くらしの窓口課,0166835402,
,019810,石狩湾新港管理組合,いしかりわんしんこうかんりくみあい,昭和53年4月1日,0613244,北海道石狩市新港南2丁目725-1,0133646661,
,019828,北空知広域水道企業団,きたそらちこういきすいどうきぎょうだん,昭和53年6月20日,0782222,北海道雨竜郡沼田町字沼田1248番地1,0164351878,
,019844,広域紋別病院企業団,こういきもんべつびょういんきぎょうだん,平成22年11月12日,0940007,北海道紋別市落石町1丁目3番37号,0158243111,
,019852,北空知圏学校給食組合,きたそらちけんがっこうきゅうしょくくみあい,平成25年4月1日,0740014,北海道深川市開西町１丁目６番４号,0164235533,
,019879,十勝中部広域水道企業団,とかちちゅうぶこういきすいどうきぎょうだん,昭和56年10月13日,0808670,"北海道帯広市西5条南7丁目1番地
帯広市役所",0155654208,
,019895,中空知広域水道企業団,なかそらちこういきすいどうきぎょうだん,昭和58年4月1日,0730085,北海道砂川市富平337-1,0125533831,
,019909,利尻島国民健康保険病院組合,りしりとうこくみんけんこうほけんびょういんくみあい,昭和59年1月17日,0970401,北海道利尻郡利尻町沓形字緑町11番地,0163842626,
,019917,石狩川流域下水道組合,いしかりがわりゅういきげすいどうくみあい,昭和60年11月21日,0790315,北海道空知郡奈井江町字茶志内10番地,0125655418,
,019925,釧路公立大学事務組合,くしろこうりつだいがくじむくみあい,昭和62年2月20日,0858585,北海道釧路市芦野4丁目1番1号,0154373228,
,019941,函館湾流域下水道事務組合,はこだてわんりゅういきげすいどうじむくみあい,平成1年10月24日,0410823,北海道函館市昭和町42番地,0138439321,
,019968,釧路白糠工業用水道企業団,くしろしらぬかこうぎょうようすいどうきぎょうだん,平成3年4月1日,0880392,北海道白糠郡白糠町西1条南1丁目1番地1　白糠町役場内,0154722171,
,019976,南空知ふるさと市町村圏組合,みなみそらちふるさとしちようそんけんくみあい,平成3年12月1日,0688686,北海道岩見沢市鳩が丘1丁目1番1号　岩見沢市役所3階,0126258001,
,019984,石狩西部広域水道企業団,いしかりせいぶこういきすいどうきぎょうだん,平成4年3月3日,0630846,北海道札幌市西区八軒6条西2丁目1番5号,0112157554,
,028037,中部上北広域事業組合,ちゅうぶかみきたこういきじぎょうくみあい,昭和47年4月1日,0392571,青森県上北郡七戸町字蛇坂55-8,0176625151,
,028061,青森県市町村総合事務組合,あおもりけんしちょうそんそうごうじむくみあい,昭和26年12月25日,0300801,青森県青森市新町2丁目4-1 青森県共同ビル内,0177231331,
,028126,青森県市町村職員退職手当組合,あおもりけんしちょうそんしょくいんたいしょくてあてくみあい,昭和32年3月22日,0300812,青森県青森市堤町2丁目1-1,0177341678,
,028177,弘前地区環境整備事務組合,ひろさきちくかんきょうせいびじむくみあい,昭和37年2月20日,0368314,青森県弘前市大字町田字筒井6-2,0172315600,
,028185,黒石地区清掃施設組合,くろいしちくせいそうしせつくみあい,昭和37年2月20日,0360534,青森県黒石市大字竹鼻字南野田62-1,0172531222,
,028193,西北五環境整備事務組合,せいほくごかんきょうせいびじむくみあい,昭和37年3月10日,0378686,青森県五所川原市大字布屋町41-1,0173381205,
,028266,三戸地区環境整備事務組合,さんのへちくかんきょうせいびじむくみあい,昭和39年4月10日,0390105,青森県三戸郡南部町大字沖田面字千刈45,0179230567,
,028291,西海岸衛生処理組合,にしかいがんえいせいしょりくみあい,昭和40年8月14日,0382792,青森県西津軽郡鰺ヶ沢町大字舞戸町字鳴戸321,0173820036,
,028304,西北五広域福祉事務組合,せいほくごこういきふくしじむくみあい,昭和41年4月1日,0382817,青森県つがる市森田町床舞鶴喰104-2 森田学園内,0173263100,
,028347,上北地方教育・福祉事務組合,かみきたちほうきょういくふくしじむくみあい,昭和48年4月18日,0392571,青森県上北郡七戸町字蛇坂55-8,0176625154,
,028398,青森県交通災害共済組合,あおもりけんこうつうさいがいきょうさいくみあい,昭和43年1月11日,0300801,青森県青森市新町2丁目4-1 青森県共同ビル内,0177223292,
,028533,五所川原地区消防事務組合,ごしょがわらちくしょうぼうじむくみあい,昭和45年4月1日,0370036,青森県五所川原市中央4-130,0173354382,
,028568,弘前地区消防事務組合,ひろさきちくしょうぼうじむくみあい,昭和46年4月1日,0368203,青森県弘前市大字本町2-1,0172325101,
,028576,一部事務組合下北医療センター,いちぶじむくみあいしもきたいりょうせんたー,昭和46年4月1日,0350071,青森県むつ市小川町1丁目2-8 むつ総合病院内,0175222111,
,028592,八戸地域広域市町村圏事務組合,はちのへちいきこういきしちょうそんけんじむくみあい,昭和46年4月1日,0318686,青森県八戸市内丸一丁目１番1号,0178439556,
,028614,下北地域広域行政事務組合,しもきたちいきこういきぎょうせいじむくみあい,昭和47年6月1日,0350073,青森県むつ市中央1丁目8-1,0175282100,
,028622,鯵ケ沢地区消防事務組合,あじがさわちくしょうぼうじむくみあい,昭和47年8月1日,0382761,青森県西津軽郡鰺ケ沢町大字舞戸町字鳴戸385番地２,0173724527,
,028631,十和田地域広域事務組合,とわだちいきこういきじむくみあい,昭和47年9月1日,0340051,青森県十和田市大字伝法寺字大窪60-3,0176208100,
,028665,津軽広域水道企業団,つがるこういきすいどうきぎょうだん,昭和49年7月1日,0360342,青森県黒石市大字石名坂字姥懐2,0172526033,
,028673,田子高原広域事務組合,たっここうげんこういきじむくみあい,昭和53年7月1日,0390201,青森県三戸郡田子町大字田子字天神堂平81 田子町役場内,0179207115,
,028681,久吉ダム水道企業団,ひさよしだむすいどうきぎょうだん,昭和55年7月8日,0380221,青森県南津軽郡大鰐町大字虹貝字清川155-3,0172482229,
,028703,青森県市長会館管理組合,あおもりけんしちょうかいかんかんりくみあい,昭和58年4月19日,0300801,青森県青森市新町2丁目4-1 青森県共同ビル内,0177223292,
,028711,八戸圏域水道企業団,はちのへけんいきすいどうきぎょうだん,昭和61年1月24日,0391112,青森県八戸市南白山台1丁目11-1,0178707000,
,028746,青森地域広域事務組合,あおもりちいきこういきじむくみあい,平成3年2月1日,0300861,青森県青森市長島2丁目1-1,0177355016,
,028771,北部上北広域事務組合,ほくぶかみきたこういきじむくみあい,平成8年4月1日,0393113,青森県上北郡野辺地町字田狭沢40-9,0175641066,
,028789,津軽広域連合,つがるこういきれんごう,平成10年2月1日,0368003,青森県弘前市大字駅前町9-20,0172311201,
,028797,つがる西北五広域連合,つがるせいほくごこういきれんごう,平成11年3月25日,0378686,青森県五所川原市字布屋町41-1,0173267940,
,028801,青森県後期高齢者医療広域連合,あおもりけんこうきこうれいしゃいりょうこういきれんごう,平成19年2月1日,0300801,青森県青森市新町2丁目4-1 青森県共同ビル内,0177213821,
,038083,矢櫃山造林一部事務組合,やびつやまぞうりんいちぶじむくみあい,昭和29年12月10日,0200595,岩手県雫石町千刈田5-1,0196926495,
,038156,岩手県市町村総合事務組合（普通会計分）,いわてけんしちょうそんそうごうじむくみあい（ふつうかいけいぶん）,昭和32年9月1日,0200821,岩手県盛岡市山王町4-1,0196226242,
,038181,大船渡地区消防組合,おおふなとちくしょうぼうくみあい,昭和48年4月1日,0220003,岩手県大船渡市盛町字宇津野沢15,0192272119,
,038199,北上地区広域行政組合,きたかみちくこういきぎょうせいくみあい,昭和63年4月1日,0240003,岩手県北上市成田23-55-1,0197682203,
,038288,二戸地区広域行政事務組合,にのへちくこういきぎょうせいじむくみあい,昭和39年1月27日,0286102,岩手県二戸市下斗米字細越20－1,0195237772,
,038296,盛岡北部行政事務組合,もりおかほくぶぎょうせいじむくみあい,昭和39年2月6日,0287405,岩手県八幡平市平舘第２７地割４９番地,0195742716,
,038334,岩手・玉山環境組合,いわてたまやまかんきょうくみあい,昭和41年3月24日,0284122,岩手県盛岡市寺林字平森54-54,0196820552,
,038407,盛岡・紫波地区環境施設組合,もりおかしわちくかんきょうしせつくみあい,昭和43年2月21日,0283603,岩手県紫波郡矢巾町大字西徳田12-168-2,0196973835,
,038440,岩手県競馬組合,いわてけんけいばくみあい,昭和39年3月18日,0200803,岩手県盛岡市新庄字上八木田10,0196267711,
,038547,盛岡地区衛生処理組合,もりおかちくえいせいしょりくみあい,昭和45年7月23日,0200621,岩手県滝沢市大崎94番地194,0196885110,
,038555,大船渡地区環境衛生組合,おおふなとちくかんきょうえいせいくみあい,昭和45年7月25日,0220004,岩手県大船渡市猪川町字藤沢口54-1,0192264739,
,038563,盛岡地区広域消防組合,もりおかちくこういきしょうぼうくみあい,昭和45年10月1日,0200045,岩手県盛岡市盛岡駅西通1-27‐55,0196267401,
,038628,釜石大槌地区行政事務組合,かまいしおおつちちくぎょうせいじむくみあい,昭和47年5月1日,0260031,岩手県釜石市鈴子町15-2,0193311336,
,038679,宮古地区広域行政組合,みやこちくこういきぎょうせいくみあい,昭和48年5月8日,0270058,岩手県宮古市千徳14-121-5,0193642011,
,038709,北上地区消防組合,きたかみちくしょうぼうくみあい,昭和49年4月1日,0240083,岩手県北上市柳原町二丁目３番６号,0197655171,
,038733,奥州金ケ崎行政事務組合（普通会計分）,おうしゅうかねがさきぎょうせいじむくみあい（ふつうかいけいぶん）,昭和63年2月1日,0230003,岩手県奥州市水沢佐倉河字仙人49,0197245821,
,038750,岩手県自治会館管理組合,いわてけんじちかいかんかんりくみあい,平成4年2月15日,0200821,岩手県盛岡市山王町4-1,0196226171,
,038784,気仙広域連合,けせんこういきれんごう,平成10年3月18日,0220003,岩手県大船渡市盛町字宇津野沢15,0192273111,
,038806,久慈広域連合（普通会計分）,くじこういきれんごう（ふつうかいけいぶん）,平成12年9月5日,0280056,岩手県久慈市中町一丁目67番地,0194613344,
,038814,岩手中部広域行政組合,いわてちゅうぶこういきぎょうせいくみあい,平成14年11月1日,0240335,岩手県北上市和賀町後藤3-60,0197728286,
,038822,一関地区広域行政組合（普通会計分）,いちのせきちくこういきぎょうせいくみあい（ふつうかいけいぶん）,平成18年4月1日,0218501,岩手県一関市竹山町７－２,0191212111,
,038831,岩手沿岸南部広域環境組合,いわてえんがんなんぶこういきかんきょうくみあい,平成18年4月14日,0260001,岩手県釜石市大字平田3-81-3,0193277020,
,038849,岩手県後期高齢者医療広域連合（普通会計分）,いわてけんこうきこうれいしゃいりょうこういきれんごう（ふつうかいけいぶん）,平成19年2月1日,0200821,岩手県盛岡市山王町4-1,0196067500,
,038865,滝沢・雫石環境組合,たきざわしずくいしかんきょうくみあい,平成22年10月1日,0200654,岩手県滝沢市中鵜飼55,0196842111,
,038873,岩手中部水道企業団,いわてちゅうぶすいどうきぎょうだん,平成25年10月11日,0250004,岩手県花巻市葛3-183-1,0198295377,
,038881,岩手県市町村総合事務組合(事業会計分）,いわてけんしちょうそんそうごうじむくみあい（じぎょうかいけいぶん）,昭和32年9月1日,0200821,岩手県盛岡市山王町4-1,0196226242,
